galaxy_id,canonical_classification,prior_scenario,grid_scope,model_name,prior_weighted_mean_rmse,prior_weighted_median_rmse,best_plausible_rmse,fraction_of_prior_weight_where_model_wins,fraction_of_prior_weight_where_tdf_beats_nfw,fraction_of_prior_weight_where_tdf_beats_mond,total_prior_weight,n_cells_in_scope
DDO154,robust_tdf_success,uniform_plausible_band,plausible_only,tdf_3knot,2.0325060127102663,2.028159188371044,1.9324117843721231,0.0,1.0,1.0,9.0,9
DDO154,robust_tdf_success,uniform_plausible_band,plausible_only,tdf_5knot,1.4409858991549962,1.440656863351654,1.435033200080552,1.0,1.0,1.0,9.0,9
DDO154,robust_tdf_success,uniform_plausible_band,plausible_only,nfw_refit_scaled,3.5638306067353094,3.561967042755863,3.270415434047661,0.0,0.0,0.6666666666666666,9.0,9
DDO154,robust_tdf_success,uniform_plausible_band,plausible_only,mond_fit_a0_scaled,3.940689658771387,3.983855795867608,3.184533787079181,0.0,0.3333333333333333,0.0,9.0,9
DDO154,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,tdf_3knot,2.032506012710266,2.028159188371044,1.9324117843721231,0.0,1.0,1.0,6.8999999999999995,9
DDO154,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,tdf_5knot,1.4409858991549966,1.440656863351654,1.435033200080552,1.0,1.0,1.0,6.8999999999999995,9
DDO154,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,nfw_refit_scaled,3.563830606735309,3.561967042755863,3.270415434047661,0.0,0.0,0.6666666666666666,6.8999999999999995,9
DDO154,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,mond_fit_a0_scaled,3.940689658771387,3.983855795867608,3.184533787079181,0.0,0.3333333333333333,0.0,6.8999999999999995,9
DDO154,robust_tdf_success,canonical_delta_prior,all_grid,tdf_3knot,2.0267396855670263,2.028159188371044,1.9324117843721231,0.0,1.0,1.0,2.8676360440667232,20
DDO154,robust_tdf_success,canonical_delta_prior,all_grid,tdf_5knot,1.4411461545263318,1.440656863351654,1.435033200080552,1.0,1.0,1.0,2.8676360440667232,20
DDO154,robust_tdf_success,canonical_delta_prior,all_grid,nfw_refit_scaled,3.5505401311069673,3.561967042755863,3.270415434047661,0.0,0.0,0.7823173358315979,2.8676360440667232,20
DDO154,robust_tdf_success,canonical_delta_prior,all_grid,mond_fit_a0_scaled,3.9218067769756324,3.983855795867608,3.184533787079181,0.0,0.21768266416840198,0.0,2.8676360440667232,20
IC2574,robust_tdf_success,uniform_plausible_band,plausible_only,tdf_3knot,2.9831626285194153,2.9826962881451915,2.979359675237586,0.0,1.0,1.0,9.0,9
IC2574,robust_tdf_success,uniform_plausible_band,plausible_only,tdf_5knot,1.7371313248193678,1.7320131108365184,1.7005811809053475,1.0,1.0,1.0,9.0,9
IC2574,robust_tdf_success,uniform_plausible_band,plausible_only,nfw_refit_scaled,6.393955768224651,6.3878316878885135,5.896317412864284,0.0,0.0,0.3333333333333333,9.0,9
IC2574,robust_tdf_success,uniform_plausible_band,plausible_only,mond_fit_a0_scaled,6.2245145473054775,6.294218833673776,5.420742894553859,0.0,0.6666666666666666,0.0,9.0,9
IC2574,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,tdf_3knot,2.9831626285194153,2.9826962881451915,2.979359675237586,0.0,1.0,1.0,6.8999999999999995,9
IC2574,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,tdf_5knot,1.7371313248193676,1.7320131108365184,1.7005811809053475,1.0,1.0,1.0,6.8999999999999995,9
IC2574,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,nfw_refit_scaled,6.393955768224651,6.3878316878885135,5.896317412864284,0.0,0.0,0.3333333333333333,6.8999999999999995,9
IC2574,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,mond_fit_a0_scaled,6.224514547305478,6.294218833673776,5.420742894553859,0.0,0.6666666666666666,0.0,6.8999999999999995,9
IC2574,robust_tdf_success,canonical_delta_prior,all_grid,tdf_3knot,2.982063453052154,2.979359675237586,2.979359675237586,0.0,1.0,1.0,2.8676360440667232,20
IC2574,robust_tdf_success,canonical_delta_prior,all_grid,tdf_5knot,1.7338332510506853,1.7320131108365184,1.7005811809053475,1.0,1.0,1.0,2.8676360440667232,20
IC2574,robust_tdf_success,canonical_delta_prior,all_grid,nfw_refit_scaled,6.370396030845672,6.3878316878885135,5.896317412864284,0.0,0.0,0.19173425452596912,2.8676360440667232,20
IC2574,robust_tdf_success,canonical_delta_prior,all_grid,mond_fit_a0_scaled,6.2106376463627555,6.294218833673776,5.420742894553859,0.0,0.8082657454740307,0.0,2.8676360440667232,20
NGC2403,robust_tdf_success,uniform_plausible_band,plausible_only,tdf_3knot,8.78086182520572,8.658875500476361,4.979255672682997,0.0,1.0,1.0,9.0,9
NGC2403,robust_tdf_success,uniform_plausible_band,plausible_only,tdf_5knot,3.5103784495453807,3.437358703282382,3.3571324261373414,1.0,1.0,1.0,9.0,9
NGC2403,robust_tdf_success,uniform_plausible_band,plausible_only,nfw_refit_scaled,10.347888790795103,9.756511070099725,5.0053946795216335,0.0,0.0,1.0,9.0,9
NGC2403,robust_tdf_success,uniform_plausible_band,plausible_only,mond_fit_a0_scaled,14.205898488855231,14.24104906222355,8.10505139277264,0.0,0.0,0.0,9.0,9
NGC2403,robust_tdf_success,conservative_bulge_downweight_test,plausible_only,tdf_3knot,8.780861825205719,8.658875500476361,4.979255672682997,0.0,1.0,1.0,6.8999999999999995,9
