galaxy_id,classification_canonical,disk_scale,bulge_scale,model_name,total_holdout_rmse_kms,inner_holdout_rmse_kms,middle_holdout_rmse_kms,outer_holdout_rmse_kms,negative_residual_fraction,inner_negative_residual_fraction,negative_v2_count,classification_under_scale,interpretation,analysis_stage
DDO154,robust_tdf_success,0.5,0.2,tdf_3knot,1.877097592275559,1.367628852432435,0.31469999566139656,2.9327532026246534,0.0,0.0,0,holdout_success_like,Diagnostic M/L scale; not final baryonic calibration. Improved vs canonical TDF.,phase_4f_ml_sensitivity_audit
DDO154,robust_tdf_success,0.5,0.2,tdf_5knot,1.452219378180636,0.22072428804099126,0.11676676023498485,2.502892262855731,0.0,0.0,0,holdout_success_like,Diagnostic M/L scale; not final baryonic calibration. Improved vs canonical TDF.,phase_4f_ml_sensitivity_audit
DDO154,robust_tdf_success,0.5,0.5,tdf_3knot,1.877097592275559,1.367628852432435,0.31469999566139656,2.9327532026246534,0.0,0.0,0,holdout_success_like,Diagnostic M/L scale; not final baryonic calibration. Improved vs canonical TDF.,phase_4f_ml_sensitivity_audit
DDO154,robust_tdf_success,0.5,0.5,tdf_5knot,1.452219378180636,0.22072428804099126,0.11676676023498485,2.502892262855731,0.0,0.0,0,holdout_success_like,Diagnostic M/L scale; not final baryonic calibration. Improved vs canonical TDF.,phase_4f_ml_sensitivity_audit
DDO154,robust_tdf_success,0.5,0.7,tdf_3knot,1.877097592275559,1.367628852432435,0.31469999566139656,2.9327532026246534,0.0,0.0,0,holdout_success_like,Diagnostic M/L scale; not final baryonic calibration. Improved vs canonical TDF.,phase_4f_ml_sensitivity_audit
DDO154,robust_tdf_success,0.5,0.7,tdf_5knot,1.452219378180636,0.22072428804099126,0.11676676023498485,2.502892262855731,0.0,0.0,0,holdout_success_like,Diagnostic M/L scale; not final baryonic calibration. Improved vs canonical TDF.,phase_4f_ml_sensitivity_audit
DDO154,robust_tdf_success,0.5,1.0,tdf_3knot,1.877097592275559,1.367628852432435,0.31469999566139656,2.9327532026246534,0.0,0.0,0,holdout_success_like,Diagnostic M/L scale; not final baryonic calibration. Improved vs canonical TDF.,phase_4f_ml_sensitivity_audit
DDO154,robust_tdf_success,0.5,1.0,tdf_5knot,1.452219378180636,0.22072428804099126,0.11676676023498485,2.502892262855731,0.0,0.0,0,holdout_success_like,Diagnostic M/L scale; not final baryonic calibration. Improved vs canonical TDF.,phase_4f_ml_sensitivity_audit
DDO154,robust_tdf_success,0.5,1.3,tdf_3knot,1.877097592275559,1.367628852432435,0.31469999566139656,2.9327532026246534,0.0,0.0,0,holdout_success_like,Diagnostic M/L scale; not final baryonic calibration. Improved vs canonical TDF.,phase_4f_ml_sensitivity_audit
DDO154,robust_tdf_success,0.5,1.3,tdf_5knot,1.452219378180636,0.22072428804099126,0.11676676023498485,2.502892262855731,0.0,0.0,0,holdout_success_like,Diagnostic M/L scale; not final baryonic calibration. Improved vs canonical TDF.,phase_4f_ml_sensitivity_audit
