r_kpc,tau_frozen_radial,tau_pseudo2d_on_grid,tau_expected_from_profile_interp,n_grid_cells_at_radius,valid_mask,relative_error,passes_tolerance
0.35,0.0,0.0,0.0,0,True,0.0,True
0.69,51.52873238095239,51.52873238095239,51.52873238095239,0,True,0.0,True
1.03,191.22207865926956,191.22207865926956,191.22207865926956,0,True,0.0,True
1.38,344.77186979828736,344.77186979828736,344.77186979828736,0,True,0.0,True
1.72,509.7368996685267,509.7368996685267,509.7368996685267,0,True,0.0,True
2.07,695.5072944766943,695.5072944766943,695.5072944766943,0,True,0.0,True
2.41,878.9420296481819,878.9420296481819,878.9420296481819,0,True,0.0,True
2.76,1060.579344910675,1060.579344910675,1060.579344910675,0,True,0.0,True
3.1,1241.104275948543,1241.104275948543,1241.104275948543,0,True,0.0,True
3.45,1450.378938419324,1450.378938419324,1450.378938419324,0,True,0.0,True
3.79,1673.8691210157829,1673.8691210157829,1673.8691210157829,0,True,0.0,True
4.14,1913.40627241694,1913.40627241694,1913.40627241694,0,True,0.0,True
4.48,2144.181030476378,2144.181030476378,2144.181030476378,0,True,0.0,True
4.82,2364.302750939849,2364.302750939849,2364.302750939849,0,True,0.0,True
5.17,2584.638747440567,2584.638747440567,2584.638747440567,0,True,0.0,True
5.51,2796.2522580872896,2796.2522580872896,2796.2522580872896,0,True,0.0,True
5.86,3006.718076130655,3006.718076130655,3006.718076130655,0,True,0.0,True
6.2,3206.8212871127093,3206.8212871127093,3206.8212871127093,0,True,0.0,True
6.55,3410.410003487986,3410.410003487986,3410.410003487986,0,True,0.0,True
6.89,3604.2084017410134,3604.2084017410134,3604.2084017410134,0,True,0.0,True
7.25,3800.993584236384,3800.993584236384,3800.993584236384,0,True,0.0,True
7.58,3975.723172503603,3975.723172503603,3975.723172503603,0,True,0.0,True
7.94,4158.315845306884,4158.315845306884,4158.315845306884,0,True,0.0,True
8.27,4313.534578373428,4313.534578373428,4313.534578373428,0,True,0.0,True
8.63,4474.774383652951,4474.774383652951,4474.774383652951,0,True,0.0,True
8.97,4624.693456164128,4624.693456164128,4624.693456164128,0,True,0.0,True
9.3,4767.765246906388,4767.765246906388,4767.765246906388,0,True,0.0,True
9.66,4920.10836384087,4920.10836384087,4920.10836384087,0,True,0.0,True
9.99,5058.043202762867,5058.043202762867,5058.043202762867,0,True,0.0,True
10.35,5208.466931129494,5208.466931129494,5208.466931129494,0,True,0.0,True
10.69,5336.560085519031,5336.560085519031,5336.560085519031,0,True,0.0,True
