galaxy_id,model_name,split_name,radial_region_label,n_test_points,rmse_kms,median_abs_residual_kms,max_abs_residual_kms,mean_normalized_abs_residual,worst_radius_kpc,worst_region_label,negative_v2_count,interpretation
DDO154,mond_fit_a0_simple,even_odd_index,inner,2,6.763087815665637,5.9923961734185625,9.127766152097877,8.561880039800421,0.99,inner,0,Moderate regional holdout errors on this subset.
DDO154,mond_fit_a0_simple,even_odd_index,middle,2,0.2919959617848696,0.2486389108293565,0.4017412743651931,1.2431945541467826,3.95,middle,0,Moderate regional holdout errors on this subset.
DDO154,mond_fit_a0_simple,even_odd_index,outer,2,1.337423853047411,1.3000967440133273,1.6138657974684565,1.7242449686178924,4.94,outer,0,Moderate regional holdout errors on this subset.
DDO154,mond_fit_a0_simple,inner_middle_outer_blocked,middle,4,0.6993071665053374,0.6712803293416911,0.8732411223263981,2.8337092690373433,2.47,middle,0,Moderate regional holdout errors on this subset.
DDO154,nfw_refit,even_odd_index,inner,2,4.5154899699466515,3.7813386398254956,6.24935966073506,5.219167406875344,0.99,inner,0,Moderate regional holdout errors on this subset.
DDO154,nfw_refit,even_odd_index,middle,2,0.5134026397683246,0.4932340476079631,0.6357206954082031,2.4661702380398154,2.96,middle,0,Moderate regional holdout errors on this subset.
DDO154,nfw_refit,even_odd_index,outer,2,4.172480761109265,3.2897321826584154,5.8562975662417855,2.8550611400914296,5.92,outer,0,Moderate regional holdout errors on this subset.
DDO154,nfw_refit,inner_middle_outer_blocked,middle,4,2.118843737855132,2.0696133227104525,2.5560991228309575,9.40012682500055,2.96,middle,0,Moderate regional holdout errors on this subset.
DDO154,tdf_3knot,even_odd_index,inner,2,1.9218121150448673,1.753604922790558,2.5398819606709395,2.5547541103295135,0.99,inner,0,Moderate regional holdout errors on this subset.
DDO154,tdf_3knot,even_odd_index,middle,2,0.4037227519691774,0.3313139340129361,0.5620153375336727,1.6565696700646804,2.96,middle,0,Moderate regional holdout errors on this subset.
DDO154,tdf_3knot,even_odd_index,outer,2,2.9127195563821258,2.299581123786986,4.087278488906001,1.998599986930745,5.92,outer,0,Moderate regional holdout errors on this subset.
DDO154,tdf_3knot,inner_middle_outer_blocked,middle,4,1.290026206348486,1.1817748746074876,1.9639867559351032,5.448231783210393,3.46,middle,0,Moderate regional holdout errors on this subset.
DDO154,tdf_5knot,even_odd_index,inner,2,0.28656429338500267,0.2770000115397373,0.3504172292085599,0.42259356212626464,0.99,inner,0,Moderate regional holdout errors on this subset.
DDO154,tdf_5knot,even_odd_index,middle,2,0.1146762363597176,0.09185024289086735,0.1605100715137126,0.459251214454337,3.95,middle,0,Moderate regional holdout errors on this subset.
DDO154,tdf_5knot,even_odd_index,outer,2,2.4761273917829425,2.0286553134921057,3.448431520990333,1.8337190707604112,5.92,outer,0,Moderate regional holdout errors on this subset.
DDO154,tdf_5knot,inner_middle_outer_blocked,middle,4,6.949194562592761,6.713137759632023,9.013649298018136,30.398401288257553,3.46,middle,0,Moderate regional holdout errors on this subset.
IC2574,mond_fit_a0_simple,even_odd_index,inner,5,3.559751747495848,1.7404908332444862,5.592955939889203,1.8315492248102856,1.14,inner,0,Moderate regional holdout errors on this subset.
IC2574,mond_fit_a0_simple,even_odd_index,middle,6,3.0912503994570515,2.18754981671977,4.942406131682112,1.034522559586085,3.98,middle,0,Moderate regional holdout errors on this subset.
IC2574,mond_fit_a0_simple,even_odd_index,outer,6,9.59859456385576,9.447496398589358,12.14640966974268,2.3812212914655,8.52,outer,0,Moderate regional holdout errors on this subset.
IC2574,mond_fit_a0_simple,inner_middle_outer_blocked,middle,11,2.922204743304513,1.337789493456917,5.310683779105716,1.5941930590735764,6.83,middle,0,Moderate regional holdout errors on this subset.
IC2574,mond_fit_a0_simple,radial_kfold_5_fold1,inner,7,5.781027269349122,5.8853924509015485,7.691358360171652,6.898896403784001,1.99,inner,0,Moderate regional holdout errors on this subset.
IC2574,mond_fit_a0_simple,radial_kfold_5_fold2,inner,4,1.2106928369539247,1.3000075167792282,1.4518470089827673,0.807979828495218,2.84,inner,0,Moderate regional holdout errors on this subset.
IC2574,mond_fit_a0_simple,radial_kfold_5_fold2,middle,3,2.99548379179249,2.0110991500126403,4.7649323468958755,0.3446472473589115,3.98,middle,0,Moderate regional holdout errors on this subset.
IC2574,mond_fit_a0_simple,radial_kfold_5_fold3,middle,7,2.0071486611556297,0.8906218314261523,4.329524513739919,1.8270032345925855,6.54,middle,0,Moderate regional holdout errors on this subset.
