galaxy_id,K_tau,model_name,fit_success,fit_status,rmse_kms,aic,bic,n_negative_v2
DDO154,0.5,tdf_3knot,True,ok:1,3.5759813369044444,2056.116078624335,2057.570798573699,0
DDO154,1.0,tdf_3knot,True,ok:2,1.5921349231760653,41.98623594722198,43.440955896585976,0
DDO154,2.0,tdf_3knot,True,ok:2,1.592134923513553,41.986235947221985,43.44095589658599,0
NGC2403,0.5,tdf_3knot,True,ok:2,8.772625306657133,2678.2288854373396,2685.100263760785,0
NGC2403,1.0,tdf_3knot,True,ok:2,8.772620034196754,2678.2288854293665,2685.1002637528118,0
NGC2403,2.0,tdf_3knot,True,ok:2,8.77262057122966,2678.228885429189,2685.1002637526344,0
NGC3198,0.5,tdf_3knot,True,ok:2,11.58351990310234,323.34873477989385,328.6323351269745,0
NGC3198,1.0,tdf_3knot,True,ok:2,11.58351994363047,323.34873477988333,328.632335126964,0
NGC3198,2.0,tdf_3knot,True,ok:2,11.583519888972289,323.3487347799204,328.63233512700106,0
NGC6503,0.5,tdf_3knot,True,ok:2,9.506386619995194,577.8710542972769,582.1730159107324,0
NGC6503,1.0,tdf_3knot,True,ok:2,9.506386482195984,577.8710542972447,582.1730159107001,0
NGC6503,2.0,tdf_3knot,True,ok:2,9.506386429235059,577.8710542972387,582.1730159106942,0
IC2574,0.5,tdf_3knot,True,ok:2,3.239961424448256,153.22930894900867,157.80839052285717,0
IC2574,1.0,tdf_3knot,True,ok:2,2.6197249705907217,84.46784178072723,89.04692335457571,0
IC2574,2.0,tdf_3knot,True,ok:2,2.6197249695905223,84.46784178073436,89.04692335458284,0
NGC7814,0.5,tdf_3knot,True,ok:2,25.270189953059322,101.99664982610335,104.66776509979184,0
NGC7814,1.0,tdf_3knot,True,ok:2,25.270186486565944,101.99664982624529,104.66776509993377,0
NGC7814,2.0,tdf_3knot,True,ok:2,25.27019020470774,101.9966498261032,104.6677650997917,0
