galaxy_id,model_name,smoothness_sum_sq_second_diff,smoothness_normalized,fit_status,negative_v2_in_status
DDO154,tdf_3knot,1925.4225911177252,65.30198817420867,ok:2,False
DDO154,tdf_4knot,6579.025771044332,223.1320360945546,ok:2,False
DDO154,tdf_5knot,10412.00242159633,353.1299893028747,ok:2,False
NGC2403,tdf_3knot,261.0066573050125,0.6085431622244051,ok:2,False
NGC2403,tdf_4knot,15719.685157336164,36.6508157822137,ok:2,False
NGC2403,tdf_5knot,61762.65815156547,144.0010905737797,ok:2,False
NGC3198,tdf_3knot,5695.40537544867,2.9741989375782643,ok:2,False
NGC3198,tdf_4knot,27303.262820538042,14.258043092651189,ok:2,False
NGC3198,tdf_5knot,19035.518616690886,9.940542509944391,ok:2,False
NGC6503,tdf_3knot,1463.845741249952,2.830833933305084,ok:2,False
NGC6503,tdf_4knot,30633.902166268843,59.240866245765574,ok:2,False
NGC6503,tdf_5knot,80002.48025761258,154.7114764076424,ok:2,False
IC2574,tdf_3knot,7.2113033457068765,0.0819611584065684,ok:2,False
IC2574,tdf_4knot,46.949193291766264,0.5336081543065164,ok:2,False
IC2574,tdf_5knot,709.8787516188468,8.068234273562663,ok:2,False
NGC7814,tdf_3knot,114014.9650054485,319.1818958188418,ok:2,False
NGC7814,tdf_4knot,122267832.51190278,342285.581344035,ok:2;negative_v2_regions,True
NGC7814,tdf_5knot,8134715.138172679,22772.921077720883,ok:2,False
