galaxy_id_a,galaxy_id_b,dtaudr_corr,dtaudr_rmse_norm,gtau_corr,gtau_rmse_norm
DDO154,DDO154,1.0,0.0,1.0,0.0
DDO154,IC2574,0.5922166437490176,0.28395742005799923,0.5922166437490175,0.28395742005799923
DDO154,NGC2403,0.8541613085975085,0.31711672179010664,0.8541613085975087,0.3171167217901066
DDO154,NGC3198,0.6140265260408782,0.7937210649647423,0.614026526040878,0.7937210649647423
DDO154,NGC6503,0.7603702407742086,0.7548786160970431,0.7603702407742087,0.7548786160970431
DDO154,NGC7814,0.8194070269426837,0.8495677260251127,0.8194070269426839,0.8495677260251127
IC2574,IC2574,1.0,0.0,0.9999999999999998,0.0
IC2574,NGC2403,0.6760157984265844,0.31305433585515496,0.6760157984265842,0.31305433585515496
IC2574,NGC3198,0.42579580596745265,0.6291061722633606,0.4257958059674526,0.6291061722633606
IC2574,NGC6503,0.6240251067104532,0.5914148663198929,0.624025106710453,0.5914148663198929
IC2574,NGC7814,0.6781925368080942,0.6777686226239797,0.678192536808094,0.6777686226239797
NGC2403,NGC2403,1.0,0.0,1.0,0.0
NGC2403,NGC3198,0.40426234654339555,0.7116991900469537,0.40426234654339555,0.7116991900469537
NGC2403,NGC6503,0.7083334854925138,0.6299850254583346,0.708333485492514,0.6299850254583346
NGC2403,NGC7814,0.63312354394372,0.7435383414093855,0.6331235439437198,0.7435383414093855
NGC3198,NGC3198,1.0,0.0,1.0,0.0
NGC3198,NGC6503,0.1206706883322959,0.2896402329041235,0.12067068833229584,0.2896402329041235
NGC3198,NGC7814,0.8685748002020847,0.11243922106599588,0.8685748002020847,0.11243922106599588
NGC6503,NGC6503,0.9999999999999998,0.0,0.9999999999999998,0.0
NGC6503,NGC7814,0.5221470414430599,0.2592889793494962,0.5221470414430599,0.2592889793494962
NGC7814,NGC7814,0.9999999999999999,0.0,0.9999999999999999,0.0
