galaxy_id,disk_scale,bulge_scale,plausible_scale_flag,model_name,split_name,total_holdout_rmse_kms,inner_holdout_rmse_kms,middle_holdout_rmse_kms,outer_holdout_rmse_kms,n_test_points,fit_success,fit_status,negative_v2_count,boundary_limited_flag,comparison_mode,analysis_stage
DDO154,0.5,0.2,False,tdf_3knot,even_odd_index,1.877097592275559,1.367628852432435,0.31469999566139656,2.9327532026246534,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,0.2,False,tdf_5knot,even_odd_index,1.452219378180636,0.22072428804099126,0.11676676023498485,2.502892262855731,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,0.2,False,nfw_refit_scaled,even_odd_index,3.0802867019485256,3.5677537479055097,0.4633626064126167,3.9396607452783887,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,0.2,False,mond_fit_a0_scaled,even_odd_index,2.549481279119528,4.199049950676591,0.26887423894425216,1.339869595556935,6,True,ok:3,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,0.5,False,tdf_3knot,even_odd_index,1.877097592275559,1.367628852432435,0.31469999566139656,2.9327532026246534,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,0.5,False,tdf_5knot,even_odd_index,1.452219378180636,0.22072428804099126,0.11676676023498485,2.502892262855731,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,0.5,False,nfw_refit_scaled,even_odd_index,3.0802867019485256,3.5677537479055097,0.4633626064126167,3.9396607452783887,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,0.5,False,mond_fit_a0_scaled,even_odd_index,2.549481279119528,4.199049950676591,0.26887423894425216,1.339869595556935,6,True,ok:3,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,0.7,False,tdf_3knot,even_odd_index,1.877097592275559,1.367628852432435,0.31469999566139656,2.9327532026246534,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,0.7,False,tdf_5knot,even_odd_index,1.452219378180636,0.22072428804099126,0.11676676023498485,2.502892262855731,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,0.7,False,nfw_refit_scaled,even_odd_index,3.0802867019485256,3.5677537479055097,0.4633626064126167,3.9396607452783887,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,0.7,False,mond_fit_a0_scaled,even_odd_index,2.549481279119528,4.199049950676591,0.26887423894425216,1.339869595556935,6,True,ok:3,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,1.0,False,tdf_3knot,even_odd_index,1.877097592275559,1.367628852432435,0.31469999566139656,2.9327532026246534,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,1.0,False,tdf_5knot,even_odd_index,1.452219378180636,0.22072428804099126,0.11676676023498485,2.502892262855731,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,1.0,False,nfw_refit_scaled,even_odd_index,3.0802867019485256,3.5677537479055097,0.4633626064126167,3.9396607452783887,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,1.0,False,mond_fit_a0_scaled,even_odd_index,2.549481279119528,4.199049950676591,0.26887423894425216,1.339869595556935,6,True,ok:3,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,1.3,False,tdf_3knot,even_odd_index,1.877097592275559,1.367628852432435,0.31469999566139656,2.9327532026246534,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,1.3,False,tdf_5knot,even_odd_index,1.452219378180636,0.22072428804099126,0.11676676023498485,2.502892262855731,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,1.3,False,nfw_refit_scaled,even_odd_index,3.0802867019485256,3.5677537479055097,0.4633626064126167,3.9396607452783887,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.5,1.3,False,mond_fit_a0_scaled,even_odd_index,2.549481279119528,4.199049950676591,0.26887423894425216,1.339869595556935,6,True,ok:3,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,0.2,False,tdf_3knot,even_odd_index,1.9324117843721231,1.5896439776910392,0.3504564619597861,2.9245270054492574,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,0.2,False,tdf_5knot,even_odd_index,1.4472676340327832,0.2442654901263791,0.11447487889242093,2.492183918973966,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,0.2,False,nfw_refit_scaled,even_odd_index,3.270415434047661,3.9468609842402924,0.48419766708363504,4.034190417425034,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,0.2,False,mond_fit_a0_scaled,even_odd_index,3.184533787079181,5.350911863039022,0.23951134077809413,1.316868586751749,6,True,ok:4,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,0.5,True,tdf_3knot,even_odd_index,1.9324117843721231,1.5896439776910392,0.3504564619597861,2.9245270054492574,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,0.5,True,tdf_5knot,even_odd_index,1.4472676340327832,0.2442654901263791,0.11447487889242093,2.492183918973966,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,0.5,True,nfw_refit_scaled,even_odd_index,3.270415434047661,3.9468609842402924,0.48419766708363504,4.034190417425034,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,0.5,True,mond_fit_a0_scaled,even_odd_index,3.184533787079181,5.350911863039022,0.23951134077809413,1.316868586751749,6,True,ok:4,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,0.7,True,tdf_3knot,even_odd_index,1.9324117843721231,1.5896439776910392,0.3504564619597861,2.9245270054492574,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,0.7,True,tdf_5knot,even_odd_index,1.4472676340327832,0.2442654901263791,0.11447487889242093,2.492183918973966,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,0.7,True,nfw_refit_scaled,even_odd_index,3.270415434047661,3.9468609842402924,0.48419766708363504,4.034190417425034,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,0.7,True,mond_fit_a0_scaled,even_odd_index,3.184533787079181,5.350911863039022,0.23951134077809413,1.316868586751749,6,True,ok:4,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,1.0,True,tdf_3knot,even_odd_index,1.9324117843721231,1.5896439776910392,0.3504564619597861,2.9245270054492574,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,1.0,True,tdf_5knot,even_odd_index,1.4472676340327832,0.2442654901263791,0.11447487889242093,2.492183918973966,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,1.0,True,nfw_refit_scaled,even_odd_index,3.270415434047661,3.9468609842402924,0.48419766708363504,4.034190417425034,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,1.0,True,mond_fit_a0_scaled,even_odd_index,3.184533787079181,5.350911863039022,0.23951134077809413,1.316868586751749,6,True,ok:4,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,1.3,False,tdf_3knot,even_odd_index,1.9324117843721231,1.5896439776910392,0.3504564619597861,2.9245270054492574,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,1.3,False,tdf_5knot,even_odd_index,1.4472676340327832,0.2442654901263791,0.11447487889242093,2.492183918973966,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,1.3,False,nfw_refit_scaled,even_odd_index,3.270415434047661,3.9468609842402924,0.48419766708363504,4.034190417425034,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,0.7,1.3,False,mond_fit_a0_scaled,even_odd_index,3.184533787079181,5.350911863039022,0.23951134077809413,1.316868586751749,6,True,ok:4,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
DDO154,1.0,0.2,False,tdf_3knot,even_odd_index,2.028159188371044,1.9218121150448673,0.4037227519691774,2.9127195563821258,6,True,ok:2,0,False,train_only_scaled_holdout,phase_4g_ml_scaled_fair_baseline_comparison
