galaxy_id,n_points,radial_coverage_kpc,v_obs_range,median_v_err_kms,morphology_type,inclination_deg,luminosity_3p6_lsun,disk_scale_length_kpc,bulge_proxy,selection_score,selected_for_expansion_12,selected_for_expansion_20,selection_reason,caveat
UGC02953,115,62.3,231.0-319.0,4.92,2.0,50.0,259.518,3.55,True,0.9256048387096774,True,True,expansion_20:early_bulge_quota;expansion_12:stratified_subcohort;,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC05253,73,53.16,210.0-248.0,3.84,2.0,37.0,171.582,8.07,True,0.8998416289592759,True,True,expansion_20:early_bulge_quota;expansion_12:stratified_subcohort;,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC09133,68,107.99000000000001,222.0-289.0,4.484999999999999,2.0,53.0,282.926,6.97,True,0.8690722192936216,False,True,expansion_20:early_bulge_quota;,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC06787,71,37.07,134.0-276.0,3.6,2.0,66.0,98.256,5.37,True,0.8046085523255814,False,True,expansion_20:early_bulge_quota;,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC2841,50,60.2,271.0-323.0,5.93,3.0,76.0,188.121,3.64,True,0.7686184812442818,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC5055,28,53.870000000000005,125.0-206.0,2.215,4.0,55.0,152.922,3.2,False,0.6939501039501039,True,True,expansion_20:intermediate_quota;expansion_12:stratified_subcohort;,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC03205,48,39.76,107.0-237.0,6.87,2.0,67.0,113.642,3.19,True,0.68969649873631,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC00128,22,52.5,34.1-134.0,1.25,8.0,57.0,12.02,5.95,False,0.6799999999999999,True,True,expansion_20:disk_dominated_quota;expansion_12:stratified_subcohort;,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC02916,43,37.63,181.0-218.0,5.02,2.0,50.0,124.153,6.15,True,0.6647025494011976,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC0289,28,69.62,156.0-194.0,6.77,4.0,46.0,72.065,6.74,False,0.6537213254035683,True,True,expansion_20:intermediate_quota;expansion_12:stratified_subcohort;,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC06786,45,33.89,160.0-229.0,4.72,0.0,64.0,73.407,3.6,True,0.6534867438271605,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC12506,31,49.17,107.0-255.0,11.6,6.0,86.0,139.571,7.38,False,0.6453874728915663,False,True,expansion_20:intermediate_quota;,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC11455,36,41.31,35.1-291.0,7.025,6.0,90.0,374.322,5.93,False,0.6410990623700623,False,True,expansion_20:intermediate_quota;,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC03580,47,26.95,56.2-131.0,3.02,1.0,63.0,13.266,2.43,True,0.6361824594763092,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC6674,15,69.91,206.0-291.0,2.0,3.0,54.0,214.654,6.04,True,0.6321428571428572,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC6015,44,28.89,35.5-166.0,3.3499999999999996,6.0,60.0,32.129,2.3,False,0.6310493592814371,False,True,expansion_20:intermediate_quota;,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC6946,58,20.209999999999997,128.0-181.0,5.0,6.0,38.0,66.173,2.44,True,0.6228545,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC5033,22,43.830000000000005,191.0-225.0,3.0,5.0,66.0,110.509,5.16,True,0.6195065000000001,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC02487,17,70.44999999999999,329.0-383.0,4.0,0.0,36.0,489.955,7.89,True,0.6183333333333333,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC5907,19,45.3,211.0-235.0,3.0,5.0,88.0,175.425,5.34,False,0.6130174999999999,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC5371,19,44.79,207.0-242.0,3.0,4.0,53.0,340.393,7.44,False,0.6102252499999999,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC7331,36,33.64,221.0-257.0,5.0,3.0,75.0,250.631,5.02,True,0.608476,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
ESO563-G021,30,41.959999999999994,18.9-321.0,8.95,4.0,83.0,311.177,5.45,False,0.607533440860215,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC1003,36,28.99,47.0-115.0,2.7,6.0,67.0,6.82,1.61,False,0.6034435974025975,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC02885,19,72.36999999999999,256.0-305.0,10.0,5.0,64.0,403.525,11.4,True,0.5950000000000001,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC0801,13,58.65,123.0-238.0,6.2,5.0,80.0,312.57,8.72,False,0.5819642857142857,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC5985,33,31.18,223.0-305.0,5.32,3.0,60.0,208.728,7.01,True,0.5780479186046512,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC08699,41,25.48,152.0-202.0,5.93,2.0,73.0,50.302,3.09,True,0.5758854812442817,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC2903,34,24.64,44.0-216.0,3.0,4.0,66.0,81.863,2.33,False,0.5653940000000001,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC11914,65,9.55,168.0-305.0,7.94,2.0,31.0,150.028,2.44,True,0.5649785645285935,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC4013,36,25.520000000000003,162.0-198.0,5.0,3.0,89.0,79.094,3.53,True,0.5605680000000001,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC06614,13,61.36000000000001,170.0-205.0,16.0,1.0,36.0,124.35,5.1,True,0.5507142857142857,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC2998,13,41.95,90.0-214.0,5.0,5.0,58.0,150.902,6.2,False,0.54713375,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC6195,23,35.1,175.0-258.0,6.51,3.0,62.0,391.076,13.94,True,0.5470932298001738,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC1090,24,29.74,20.9-176.0,3.4450000000000003,4.0,64.0,72.045,3.53,False,0.5453539467140319,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
NGC2955,24,34.68,169.0-276.0,8.59,3.0,56.0,319.422,18.76,True,0.539395637969095,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
IC4202,32,25.13,35.1-250.0,5.8100000000000005,4.0,90.0,179.749,4.78,True,0.5351342035152636,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
UGC03546,30,28.6,190.0-262.0,12.0,1.0,55.0,101.336,3.79,True,0.5210676470588236,False,False,,QC/photometry-based score only; not selected using TDF holdout outcomes.
