galaxy_id,r_kpc,segment_index,step,dtaudr_before,dtaudr_after,relative_jump_before,relative_jump_after,correction_applied,abs_correction_dtaudr
NGC2403,0.21000000000000002,0,r2_cap,-8.149615384616027,-288.4964062499998,1.0211864390891767,1.75,True,280.34679086538375
NGC2403,0.31,1,r2_cap,-954.5202777777756,-360.62050781249974,2.3086037021571264,0.25000000000000006,True,593.8997699652759
NGC2403,0.41000000000000003,2,r2_cap,-1117.101086956521,-450.77563476562466,2.09771924434576,0.24999999999999997,True,666.3254521908963
NGC2403,0.51,3,r2_cap,-651.3794642857151,-563.4695434570308,0.44501923806150706,0.24999999999999994,True,87.90992082868433
NGC2403,0.6100000000000001,4,r2_cap,-369.26303030303313,-422.6021575927731,0.34466195273393246,0.25,True,53.33912728973996
NGC2403,0.71,5,r2_cap,148.48092105263086,316.95161819457985,1.3513491788551388,1.75,True,168.470697141949
NGC2403,0.81,6,none,292.7646511627911,292.7646511627911,0.0763112274660801,0.0763112274660801,False,0.0
NGC2403,0.9099999999999999,7,r2_cap,-58.87218750000235,-219.57348837209332,1.2010904911715814,1.7500000000000002,True,160.70130087209097
NGC2403,1.01,8,r2_cap,-93.42575471698166,-164.68011627906998,0.5745125907064853,0.25000000000000006,True,71.25436156208832
NGC2403,1.1099999999999999,9,none,-151.54603448275824,-151.54603448275824,0.07975511611890336,0.07975511611890336,False,0.0
NGC2403,1.2149999999999999,10,r2_cap,138.17724409448738,113.65952586206868,1.911783964299034,1.7500000000000002,True,24.5177182324187
NGC2403,1.315,11,none,130.34102941176582,130.34102941176582,0.1467673160095789,0.1467673160095789,False,0.0
NGC2403,1.415,12,r2_cap,-86.98040816326365,-97.75577205882436,1.6673294553204745,1.75,True,10.775363895560716
NGC2403,1.52,13,none,-76.98299363057323,-76.98299363057323,0.21249669447397077,0.21249669447397077,False,0.0
NGC2403,1.62,14,r2_cap,-99.34999999999938,-96.22874203821654,0.29054477248262345,0.24999999999999994,True,3.1212579617828453
NGC2403,1.72,15,r2_cap,-405.7548022598858,-120.28592754777067,3.2165655880520947,0.24999999999999997,True,285.46887471211517
NGC2403,1.82,16,r2_cap,-440.25465240641626,-150.35740943471333,2.660067818253905,0.24999999999999997,True,289.8972429717029
NGC2403,1.92,17,r2_cap,-449.01142131979594,-187.94676179339166,1.9862939445944703,0.24999999999999994,True,261.0646595264043
NGC2403,2.025,18,r2_cap,-481.1029807692324,-234.9334522417396,1.5597832927715187,0.25000000000000006,True,246.1695285274928
NGC2403,2.13,19,r2_cap,-761.6778899082569,-293.6668153021745,2.2421006146221902,0.25,True,468.01107460608245
NGC2403,2.23,20,r2_cap,-791.6247807017547,-367.0835191277181,1.69565623166239,0.24999999999999994,True,424.54126157403664
NGC2403,2.325,21,r2_cap,-714.7983966244727,-458.8543989096476,0.9472364172682332,0.25,True,255.94399771482512
NGC2403,2.42,22,r2_cap,-714.6750607287443,-573.5679986370595,0.5575203428952414,0.25000000000000006,True,141.10706209168472
NGC2403,2.52,23,none,-574.1164591439685,-574.1164591439685,0.0009562257800509934,0.0009562257800509934,False,0.0
NGC2403,2.625,24,none,-500.2642537313443,-500.2642537313443,0.12863627968921312,0.12863627968921312,False,0.0
NGC2403,2.73,25,none,-442.51888489208613,-442.51888489208613,0.11542973220363056,0.11542973220363056,False,0.0
NGC2403,2.83,26,r2_cap,-326.9154513888882,-331.8891636690646,0.26123954807350047,0.25,True,4.973712280176414
NGC2403,2.9299999999999997,27,r2_cap,-230.27651006711417,-248.91687275179845,0.306164420912733,0.25,True,18.640362684684277
NGC2403,3.0300000000000002,28,r2_cap,-85.91402597402544,-186.68765456384884,0.6548485242312498,0.25,True,100.7736285898234
NGC2403,3.135,29,none,-144.17796238244463,-144.17796238244463,0.22770489179221817,0.22770489179221817,False,0.0
