r_kpc,tau_frozen_radial,tau_pseudo2d_on_grid,tau_expected_from_profile_interp,n_grid_cells_at_radius,valid_mask,relative_error,passes_tolerance
0.69,-3.8510585714285663,-3.8510585714285663,-3.8510585714285663,0,True,0.0,True
1.03,22.143586785714266,22.143586785714266,22.143586785714266,0,True,0.0,True
1.38,55.592578973214216,55.592578973214216,55.592578973214216,0,True,0.0,True
1.72,96.2092123437499,96.2092123437499,96.2092123437499,0,True,0.0,True
2.07,148.47326263671857,148.47326263671857,148.47326263671857,0,True,0.0,True
2.41,211.93675227818062,211.93675227818062,211.93675227818062,0,True,0.0,True
2.76,293.5993308609441,293.5993308609441,293.5993308609441,0,True,0.0,True
3.1,392.76103342572856,392.76103342572856,392.76103342572856,0,True,0.0,True
3.45,520.3588124612967,520.3588124612967,520.3588124612967,0,True,0.0,True
3.79,675.2989727187721,675.2989727187721,675.2989727187721,0,True,0.0,True
4.14,874.670502461847,874.670502461847,874.670502461847,0,True,0.0,True
4.48,1096.1562319561262,1096.1562319561262,1096.1562319561262,0,True,0.0,True
4.82,1316.2779524195969,1316.2779524195969,1316.2779524195969,0,True,0.0,True
5.17,1536.6139489203151,1536.6139489203151,1536.6139489203151,0,True,0.0,True
5.51,1748.2274595670378,1748.2274595670378,1748.2274595670378,0,True,0.0,True
5.86,1958.6932776104034,1958.6932776104034,1958.6932776104034,0,True,0.0,True
6.2,2158.7964885924575,2158.7964885924575,2158.7964885924575,0,True,0.0,True
6.55,2362.3852049677344,2362.3852049677344,2362.3852049677344,0,True,0.0,True
6.89,2556.1836032207616,2556.1836032207616,2556.1836032207616,0,True,0.0,True
7.25,2752.9687857161325,2752.9687857161325,2752.9687857161325,0,True,0.0,True
7.58,2927.6983739833513,2927.6983739833513,2927.6983739833513,0,True,0.0,True
7.94,3110.291046786632,3110.291046786632,3110.291046786632,0,True,0.0,True
8.27,3265.5097798531765,3265.5097798531765,3265.5097798531765,0,True,0.0,True
8.63,3426.749585132699,3426.749585132699,3426.749585132699,0,True,0.0,True
8.97,3576.668657643876,3576.668657643876,3576.668657643876,0,True,0.0,True
9.3,3719.740448386135,3719.740448386135,3719.740448386135,0,True,0.0,True
9.66,3872.083565320617,3872.083565320617,3872.083565320617,0,True,0.0,True
9.99,4010.0184042426135,4010.0184042426135,4010.0184042426135,0,True,0.0,True
10.35,4160.442132609241,4160.442132609241,4160.442132609241,0,True,0.0,True
10.69,4288.535286998778,4288.535286998778,4288.535286998778,0,True,0.0,True
