galaxy_id,selected,selection_rank,n_points,r_min_kpc,r_max_kpc,radial_coverage_kpc,v_obs_min_kms,v_obs_max_kms,median_v_err_kms,has_bulge,quality_flag,cohort
DDO154,True,1.0,12,0.49,5.92,5.43,13.8,48.2,0.55,False,selected,expansion_12
IC2574,True,2.0,34,0.85,10.23,9.38,10.3,67.5,2.1,False,selected,expansion_12
NGC2403,True,3.0,73,0.16,20.87,20.71,24.5,136.0,1.8,False,selected,expansion_12
NGC3198,True,4.0,43,0.32,44.08,43.76,24.4,157.0,2.36,False,selected,expansion_12
NGC6503,True,5.0,31,0.76,23.5,22.74,77.0,121.0,2.0,False,selected,expansion_12
NGC7814,True,6.0,18,0.63,19.53,18.900000000000002,214.0,265.0,4.825,True,selected,expansion_12
UGC02953,True,7.0,115,0.09,62.39,62.3,231.0,319.0,4.92,True,selected,expansion_12
UGC05253,True,8.0,73,0.13,53.29,53.16,210.0,248.0,3.84,True,selected,expansion_12
NGC5055,True,9.0,28,0.72,54.59,53.870000000000005,125.0,206.0,2.215,False,selected,expansion_12
UGC00128,True,10.0,22,1.25,53.75,52.5,34.1,134.0,1.25,False,selected,expansion_12
NGC0289,True,11.0,28,1.5,71.12,69.62,156.0,194.0,6.77,False,selected,expansion_12
DDO161,True,12.0,31,0.6,13.37,12.77,16.0,67.5,2.09,False,selected,expansion_12
