disk_scale,bulge_scale,scenario_name,prior_weight,raw_weight,tdf_3knot_rmse,tdf_5knot_rmse,nfw_scaled_rmse,mond_scaled_rmse,winning_model,tdf_3knot_beats_nfw,tdf_3knot_beats_mond,tdf_5knot_beats_nfw,tdf_5knot_beats_mond
0.7,0.5,uniform_plausible_band,0.1111111111111111,1.0,3.3801669190547763,2.9477505027012088,3.3222417788207297,3.05510206244502,tdf_5knot,False,False,True,True
0.7,0.7,uniform_plausible_band,0.1111111111111111,1.0,6.774286184870132,2.9601192380480574,7.78648329287727,10.538540665117877,tdf_5knot,True,True,True,True
0.7,1.0,uniform_plausible_band,0.1111111111111111,1.0,155.8027270007603,113.25020543174728,22.99714361104921,26.23797288341024,nfw_refit_scaled,False,False,False,False
1.0,0.5,uniform_plausible_band,0.1111111111111111,1.0,3.459797337793205,3.165556795391009,3.420563122998117,3.957454239339872,tdf_5knot,False,True,True,True
1.0,0.7,uniform_plausible_band,0.1111111111111111,1.0,6.7641416677352675,2.817253358356396,8.433762983219795,11.848172089517297,tdf_5knot,True,True,True,True
1.0,1.0,uniform_plausible_band,0.1111111111111111,1.0,155.80246506165764,113.2509558944865,24.889421235840032,27.84616905253339,nfw_refit_scaled,False,False,False,False
1.3,0.5,uniform_plausible_band,0.1111111111111111,1.0,3.58997326168183,3.41128673338831,3.4115233484852885,5.364423240148703,tdf_5knot,False,True,True,True
1.3,0.7,uniform_plausible_band,0.1111111111111111,1.0,6.780926686327,2.7173519778947353,9.574186577671805,13.63672854438525,tdf_5knot,True,True,True,True
1.3,1.0,uniform_plausible_band,0.1111111111111111,1.0,155.80286465942834,113.252277028125,27.279149527287963,29.77039224186705,nfw_refit_scaled,False,False,False,False
0.7,0.5,conservative_bulge_downweight_test,0.14492753623188406,1.0,3.3801669190547763,2.9477505027012088,3.3222417788207297,3.05510206244502,tdf_5knot,False,False,True,True
0.7,0.7,conservative_bulge_downweight_test,0.11594202898550726,0.8,6.774286184870132,2.9601192380480574,7.78648329287727,10.538540665117877,tdf_5knot,True,True,True,True
0.7,1.0,conservative_bulge_downweight_test,0.07246376811594203,0.5,155.8027270007603,113.25020543174728,22.99714361104921,26.23797288341024,nfw_refit_scaled,False,False,False,False
1.0,0.5,conservative_bulge_downweight_test,0.14492753623188406,1.0,3.459797337793205,3.165556795391009,3.420563122998117,3.957454239339872,tdf_5knot,False,True,True,True
1.0,0.7,conservative_bulge_downweight_test,0.11594202898550726,0.8,6.7641416677352675,2.817253358356396,8.433762983219795,11.848172089517297,tdf_5knot,True,True,True,True
1.0,1.0,conservative_bulge_downweight_test,0.07246376811594203,0.5,155.80246506165764,113.2509558944865,24.889421235840032,27.84616905253339,nfw_refit_scaled,False,False,False,False
1.3,0.5,conservative_bulge_downweight_test,0.14492753623188406,1.0,3.58997326168183,3.41128673338831,3.4115233484852885,5.364423240148703,tdf_5knot,False,True,True,True
1.3,0.7,conservative_bulge_downweight_test,0.11594202898550726,0.8,6.780926686327,2.7173519778947353,9.574186577671805,13.63672854438525,tdf_5knot,True,True,True,True
1.3,1.0,conservative_bulge_downweight_test,0.07246376811594203,0.5,155.80286465942834,113.252277028125,27.279149527287963,29.77039224186705,nfw_refit_scaled,False,False,False,False
0.5,0.2,canonical_delta_prior,5.139843058460154e-06,1.4739199215286483e-05,16.84530567428187,8.730468200636338,12.211250843245663,36.08330694799349,tdf_5knot,False,True,True,True
0.5,0.5,canonical_delta_prior,0.0006731865922183227,0.0019304541362277093,3.357105151328925,2.8213839834611925,3.177729997852722,2.708209726714242,mond_fit_a0_scaled,False,False,True,False
0.5,0.7,canonical_delta_prior,0.004974213494949138,0.014264233908999256,6.795993382088692,3.0764427550823346,7.586675769167646,9.994190279137086,tdf_5knot,True,True,True,True
0.5,1.0,canonical_delta_prior,0.015321656217257782,0.04393693362340742,155.80326824723204,113.25002759189152,22.17202740687029,25.363496827796684,nfw_refit_scaled,False,False,False,False
0.5,1.3,canonical_delta_prior,0.004974213494949138,0.014264233908999256,155.80650286181742,113.25847658694197,37.731490553516686,40.150234920973055,nfw_refit_scaled,False,False,False,False
