galaxy_id,bounds_safety_factor,model_name,fit_success,fit_status,rmse_kms,aic,bic,n_negative_v2
DDO154,1.0,tdf_3knot,True,ok:2,1.8207502183901747,50.3476337380031,51.8023536873671,0
DDO154,1.5,tdf_3knot,True,ok:2,1.5921347940001234,41.986235947225566,43.44095589658957,0
DDO154,2.0,tdf_3knot,True,ok:2,1.5921349231760653,41.98623594722198,43.440955896585976,0
DDO154,3.0,tdf_3knot,True,ok:2,1.5921334424404026,41.986235947411345,43.44095589677535,0
NGC2403,1.0,tdf_3knot,True,ok:2,8.772620616439532,2678.228885429172,2685.100263752617,0
NGC2403,1.5,tdf_3knot,True,ok:2,8.772617829137078,2678.228885432669,2685.100263756114,0
NGC2403,2.0,tdf_3knot,True,ok:2,8.772620034196754,2678.2288854293665,2685.1002637528118,0
NGC2403,3.0,tdf_3knot,True,ok:2,8.772620676538502,2678.2288854291746,2685.10026375262,0
NGC3198,1.0,tdf_3knot,True,ok:2,11.58351993984697,323.34873477988765,328.6323351269683,0
NGC3198,1.5,tdf_3knot,True,ok:2,11.583519892466555,323.3487347799038,328.63233512698446,0
NGC3198,2.0,tdf_3knot,True,ok:2,11.58351994363047,323.34873477988333,328.632335126964,0
NGC3198,3.0,tdf_3knot,True,ok:2,11.583519829850077,323.3487347800327,328.6323351271134,0
NGC6503,1.0,tdf_3knot,True,ok:2,9.506386703800699,577.8710542973051,582.1730159107606,0
NGC6503,1.5,tdf_3knot,True,ok:2,9.50638652658384,577.8710542972544,582.1730159107099,0
NGC6503,2.0,tdf_3knot,True,ok:2,9.506386482195984,577.8710542972447,582.1730159107001,0
NGC6503,3.0,tdf_3knot,True,ok:2,9.50638644182423,577.8710542972392,582.1730159106946,0
IC2574,1.0,tdf_3knot,True,ok:3,2.400306595462657,87.38787888847698,91.96696046232546,0
IC2574,1.5,tdf_3knot,True,ok:2,2.6197243758411273,84.46784178086757,89.04692335471606,0
IC2574,2.0,tdf_3knot,True,ok:2,2.6197249705907217,84.46784178072723,89.04692335457571,0
IC2574,3.0,tdf_3knot,True,ok:2,2.6197245935381472,84.4678417808659,89.04692335471438,0
NGC7814,1.0,tdf_3knot,True,ok:2,25.442304274889437,103.49923107852732,106.1703463522158,0
NGC7814,1.5,tdf_3knot,True,ok:2,25.27018987232788,101.99664982610383,104.66776509979232,0
NGC7814,2.0,tdf_3knot,True,ok:2,25.270186486565944,101.99664982624529,104.66776509993377,0
NGC7814,3.0,tdf_3knot,True,ok:2,25.27018955007243,101.99664982610773,104.66776509979621,0
